product_id;order_id;quantity;selling_price;cost_of_sales;total_price;total_cost
101114;10000;1;1100;803;1100.0;803.0
100844;10000;2;310;204.6;620.0;409.25
100407;10000;1;40;31.2;40.0;31.203125
100374;10000;1;110;74.8;110.0;74.8125
101221;10000;4;40;26;160.0;104.0
100548;10000;1;230;151.8;230.0;151.75
100792;10000;1;160;107.2;160.0;107.1875
100607;10000;2;120;86.4;240.0;172.75
101270;10000;2;50;35;100.0;70.0
101221;10001;3;40;26;120.0;78.0
100190;10001;1;250;180;250.0;180.0
101002;10001;2;575;402.5;1150.0;805.0
100973;10001;1;500;355;500.0;355.0
100792;10001;2;160;107.2;320.0;214.375
100488;10001;1;200;156;200.0;156.0
100407;10001;2;40;31.2;80.0;62.40625
101176;10001;4;30;21.3;120.0;85.1875
100276;10001;3;40;27.6;120.0;82.78125
100978;10002;2;650;520;1300.0;1040.0
101221;10002;1;40;26;40.0;26.0
100599;10002;1;340;255;340.0;255.0
101370;10002;1;100;70;100.0;70.0
100701;10002;2;170;122.4;340.0;244.75
100488;10002;1;200;156;200.0;156.0
101457;10002;1;90;67.5;90.0;67.5
100190;10002;2;250;180;500.0;360.0
101221;10003;3;40;26;120.0;78.0
100190;10003;2;250;180;500.0;360.0
101002;10003;2;575;402.5;1150.0;805.0
101176;10003;4;30;21.3;120.0;85.1875
101035;10003;1;900;666;900.0;666.0
100599;10003;1;340;255;340.0;255.0
101221;10004;2;40;26;80.0;52.0
100701;10004;1;170;122.4;170.0;122.375
100276;10004;3;40;27.6;120.0;82.78125
100407;10004;1;40;31.2;40.0;31.203125
100374;10004;1;110;74.8;110.0;74.8125
100792;10004;2;160;107.2;320.0;214.375
100290;10004;1;350;234.5;350.0;234.5
101114;10004;1;1100;803;1100.0;803.0
101002;10004;2;575;402.5;1150.0;805.0
101370;10004;2;100;70;200.0;140.0
101270;10005;3;50;35;150.0;105.0
100973;10005;2;500;355;1000.0;710.0
100407;10005;1;40;31.2;40.0;31.203125
101370;10005;1;100;70;100.0;70.0
100792;10005;2;160;107.2;320.0;214.375
101035;10006;1;900;666;900.0;666.0
100190;10006;2;250;180;500.0;360.0
101176;10007;3;30;21.3;90.0;63.890625
101114;10007;1;1100;803;1100.0;803.0
100514;10007;1;175;134.75;175.0;134.75
100548;10007;1;230;151.8;230.0;151.75
101270;10007;4;50;35;200.0;140.0
100978;10007;2;650;520;1300.0;1040.0
101035;10007;1;900;666;900.0;666.0
100276;10007;2;40;27.6;80.0;55.1875
100701;10007;1;170;122.4;170.0;122.375
100927;10007;2;180;135;360.0;270.0
100290;10008;1;350;234.5;350.0;234.5
101457;10008;2;90;67.5;180.0;135.0
100607;10009;2;120;86.4;240.0;172.75
100125;10009;1;60;39.6;60.0;39.59375
100792;10009;2;160;107.2;320.0;214.375
101002;10009;1;575;402.5;575.0;402.5
100548;10009;1;230;151.8;230.0;151.75
100190;10009;2;250;180;500.0;360.0
100927;10009;2;180;135;360.0;270.0
101114;10010;1;1100;803;1100.0;803.0
